Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,whyplay_winning,whyplay_fun,whyplay_improving,whyplay_relaxing,whyplay_otherpeople,whyplay_habit
5.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,Female,30,Employed,Germany,38.0,yes,yes,strangers,No,Yes,No,No,No,No
25.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,Female,18,Student at school,UK,32.0,yes,yes,strangers,No,Yes,No,No,No,No
1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,18,Student at college / university,USA,64.0,no,no,alone,No,No,No,Yes,No,No
14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,Male,22,Student at college / university,USA,64.0,no,no,alone,No,No,No,Yes,No,No
2.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,Female,24,Student at college / university,Belgium,25.0,no,no,alone,No,No,No,Yes,No,No
12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Male,18,Student at college / university,USA,11.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Male,19,Student at school,USA,-1.0,yes,yes,friends,No,Yes,No,No,No,No
10.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,Male,40,Employed,Canada,54.0,no,no,alone,No,No,Yes,No,No,No
10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,18,Student at college / university,USA,68.0,yes,yes,strangers,No,Yes,No,No,No,No
7.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,21.0,no,no,alone,No,Yes,No,No,No,No
25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,23,Employed,USA,3.0,no,no,alone,Yes,Yes,Yes,Yes,Yes,Yes
10.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,24,Student at college / university,Canada,61.0,yes,yes,strangers,Yes,No,No,No,No,No
25.0,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Male,18,Student at school,Latvia,47.0,yes,yes,friends,No,No,Yes,No,No,No
25.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,USA,15.0,no,no,alone,No,Yes,No,No,No,No
10.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,Male,23,Student at college / university,Austria,36.0,yes,yes,friends,No,No,Yes,No,No,No
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,UK,0.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
20.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Australia,25.0,yes,yes,friends,No,No,Yes,No,No,No
40.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,Male,21,Student at school,USA,45.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
5.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at college / university,UK,13.0,yes,yes,strangers,No,Yes,No,No,No,No
25.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,Female,34,Unemployed / between jobs,USA,38.0,no,no,alone,No,Yes,No,No,No,No
10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,5.0,no,no,alone,No,Yes,No,No,No,No
5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,50,Employed,Japan,7.0,no,no,alone,No,Yes,No,No,No,No
10.0,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,Female,20,Employed,USA,30.0,yes,yes,strangers,No,No,Yes,No,No,No
20.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,Female,21,Student at college / university,Canada,30.0,yes,yes,friends,No,Yes,No,No,No,No
45.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,30.0,yes,yes,friends,No,Yes,No,No,No,No
11.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,Male,28,Employed,Canada,30.0,no,no,alone,No,Yes,No,No,No,No
12.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,Male,18,Student at college / university,UK,11.0,yes,yes,friends,No,Yes,No,No,No,No
25.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,Male,24,Student at college / university,Canada,34.0,yes,yes,strangers,No,No,Yes,No,No,No
9.0,2.0,4.0,1.0,2.0,-1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,-1.0,yes,yes,strangers,No,Yes,No,No,No,No
6.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Male,22,Student at college / university,USA,13.0,yes,yes,friends,No,No,No,Yes,No,No
20.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,USA,13.0,yes,yes,friends,No,Yes,No,No,No,No
6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Female,18,Student at school,USA,11.0,no,no,alone,No,No,No,Yes,No,No
20.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,Female,22,Student at college / university,USA,47.0,no,no,alone,No,No,No,Yes,No,No
10.0,0.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,Male,18,Student at college / university,USA,31.0,no,no,alone,No,Yes,No,No,No,No
8.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,Male,20,Student at college / university,Germany,16.0,yes,yes,strangers,Yes,No,No,No,No,No
