Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay
9.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,Male,18,Student at school,USA,14.0,yes,yes,online acquaintaces,,fun
18.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Male,20,Student at college / university,Sweden,46.0,no,no,alone,Severe,fun
8.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,26,Employed,Canada,11.0,yes,yes,strangers,,fun
9.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,Female,23,Employed,UK,39.0,yes,yes,friends,Moderate,improving
6.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,Female,22,Unemployed / between jobs,UK,60.0,yes,yes,strangers,Very severe,winning
7.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,Male,25,Student at college / university,USA,29.0,yes,yes,strangers,Mild,fun
18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,2.0,1.0,1.0,0.0,1.0,Female,22,Student at college / university,Greece,-1.0,yes,yes,friends,Undefined,fun
18.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Male,24,Student at college / university,USA,13.0,no,no,alone,,improving
10.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,Female,24,Student at college / university,Canada,41.0,no,no,alone,Severe,fun
20.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,21,Student at college / university,Ireland,8.0,no,no,alone,,fun
10.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,Female,18,Student at college / university,USA,24.0,no,no,alone,Mild,fun
10.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,UK,9.0,yes,yes,strangers,,fun
