Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,Playstyle,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
51,1,1,1,0,1,0,0,18.0,having fun,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,Male,18,Student at college / university,USA,Singleplayer,4,20.0,USA,USA
52,1,0,1,0,0,0,0,15.0,improving,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at college / university,Turkey,Multiplayer - online - with real life friends,2,12.0,TUR,TUR
53,0,0,0,0,0,1,0,10.0,having fun,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,28,Unemployed / between jobs,UK,Multiplayer - online - with real life friends,1,11.0,GBR,GBR
54,0,0,0,0,1,1,0,30.0,having fun,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,Female,21,Student at college / university,USA,Singleplayer,2,20.0,USA,USA
55,2,2,2,1,0,1,0,11.0,having fun,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,Female,22,Student at college / university,USA,Multiplayer - online - with strangers,8,17.0,USA,USA
56,2,1,1,3,1,2,0,0.0,having fun,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,Male,19,Student at college / university,USA,Singleplayer,10,44.0,USA,USA
57,0,0,0,0,0,0,0,30.0,improving,1.0,0.0,3.0,2.0,3.0,,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at school,UK,Multiplayer - online - with real life friends,0,,GBR,BGR
59,0,0,0,0,0,0,0,10.0,having fun,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,24,Student at college / university,USA,Multiplayer - offline (people in the same room),0,6.0,USA,USA
60,0,1,1,1,0,0,3,20.0,having fun,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,Canada,Multiplayer - online - with online acquaintances or teammates,6,13.0,CAN,CAN
61,3,3,1,1,0,1,0,0.0,having fun,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,Male,19,Student at college / university,Canada,Singleplayer,9,27.0,CAN,CAN
