Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay,ResidenceISO
6.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Male,22,Student at college / university,USA,13.0,yes,yes,friends,_None,relaxing,USA
20.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,USA,13.0,yes,yes,friends,_None,fun,USA
6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Female,18,Student at school,USA,11.0,no,no,alone,_None,relaxing,USA
20.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,Female,22,Student at college / university,USA,47.0,no,no,alone,Severe,relaxing,USA
10.0,0.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,Male,18,Student at college / university,USA,31.0,no,no,alone,Moderate,fun,USA
8.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,Male,20,Student at college / university,Germany,16.0,yes,yes,strangers,_None,winning,DEU
25.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,Male,18,Student at school,UK,-1.0,yes,yes,strangers,Undefined,winning,GBR
25.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,Male,22,Employed,South Africa,15.0,yes,yes,strangers,_None,winning,ZAF
16.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,Male,22,Student at college / university,Germany,45.0,yes,yes,strangers,Severe,improving,DEU
20.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,Male,27,Student at college / university,Germany,15.0,yes,yes,friends,_None,improving,DEU
15.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,20,Unemployed / between jobs,USA,16.0,yes,yes,friends,_None,improving,USA
50.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Unemployed / between jobs,Croatia,5.0,yes,yes,online acquaintaces,_None,improving,HRV
12.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,Male,18,Student at college / university,UK,50.0,yes,yes,strangers,Severe,winning,GBR
28.0,0.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,Male,19,Unemployed / between jobs,Switzerland,33.0,no,no,alone,Moderate,fun,CHE
25.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Croatia,21.0,yes,yes,strangers,Mild,improving,HRV
42.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Male,27,Employed,India,15.0,yes,yes,various,_None,fun,IND
20.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,Female,21,Employed,Germany,21.0,yes,yes,online acquaintaces,Mild,fun,DEU
14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at college / university,Netherlands,11.0,yes,yes,online acquaintaces,_None,relaxing,NLD
80.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,0.0,3.0,2.0,1.0,4.0,Male,18,Student at college / university,UK,37.0,yes,yes,strangers,Moderate,winning,GBR
50.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,Male,19,Student at college / university,USA,34.0,yes,yes,strangers,Moderate,improving,USA
40.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,Male,22,Student at college / university,Denmark,35.0,yes,yes,online acquaintaces,Moderate,fun,DNK
10.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,Female,20,Employed,Portugal,25.0,yes,yes,friends,Mild,fun,PRT
10.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,22,Student at college / university,UK,12.0,yes,yes,strangers,_None,improving,GBR
28.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,France,4.0,yes,yes,online acquaintaces,_None,improving,FRA
30.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,France,22.0,yes,yes,friends,Mild,fun,FRA
20.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,Male,23,Student at college / university,France,33.0,yes,yes,strangers,Moderate,fun,FRA
28.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,0.0,4.0,3.0,0.0,3.0,1.0,1.0,2.0,Male,21,Employed,UK,34.0,yes,yes,online acquaintaces,Moderate,fun,GBR
40.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,1.0,Male,23,Unemployed / between jobs,Argentina,26.0,yes,yes,online acquaintaces,Mild,improving,ARG
30.0,0.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,2.0,Male,18,Student at school,Germany,40.0,no,no,alone,Moderate,fun,DEU
